Name,Team,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,WAR,OPS+,PA_scaled,Num,BIP%,PutAway%,HR_scaled,R_scaled,RBI_scaled,Num_Ordi,Team_Ordi,CPBL
Pete Alonso,NYM,8.6,22.8,0.252,0.305,0.272,0.347,0.524,0.368,141.0,-5.4,29.2,3.6,125.38717778915407,4.3765432098765435,,62.52162280714819,42.49338621957671,32.15796897038082,73.62482369534555,106.62905500705219,46.0,19.0,0
Michael Busch,CHC,9.5,23.5,0.261,0.292,0.261,0.343,0.523,0.369,140.0,-3.3,24.6,3.5,123.94405315928019,3.654320987654321,,60.0878767379575,42.93366104335615,34.45945945945946,79.05405405405405,91.21621621621621,46.0,6.0,0
Masyn Winn,STL,6.3,19.0,0.11,0.301,0.253,0.31,0.363,0.297,91.0,1.6000000000000003,-3.9000000000000004,3.5,77.26466575665178,3.314814814814815,,67.0710921630401,42.389355463274555,10.05586592178771,80.44692737430168,56.98324022346369,31.0,27.0,0
Bryce Harper,PHI,12.1,20.9,0.226,0.292,0.261,0.357,0.487,0.361,131.0,1.4,22.800000000000004,3.5,119.94353919155768,3.580246913580247,,57.200764660478285,40.83387238457958,27.93103448275862,74.48275862068965,77.58620689655173,46.0,22.0,0
Jacob Wilson,ATH,5.2,7.5,0.134,0.317,0.311,0.355,0.444,0.348,121.0,-0.3,12.8,3.5,109.48307479252075,3.228395061728395,,76.84904794537171,15.288702885988656,14.91395793499044,71.12810707456978,72.27533460803059,7.0,2.0,0
Hunter Goodman,COL,5.7,26.3,0.243,0.331,0.278,0.323,0.52,0.359,118.0,-1.5,10.7,3.4,117.18673128445651,3.574074074074074,,66.51982363805115,52.21719353467225,32.12435233160622,75.64766839378238,94.30051813471502,31.0,10.0,0
Mookie Betts,LAD,9.2,10.299999999999999,0.148,0.258,0.258,0.326,0.406,0.318,104.0,-0.3,2.6999999999999993,3.4,91.97403912979208,4.092592592592593,,76.54523139052411,23.319263076465546,18.099547511312217,85.97285067873302,74.2081447963801,54.0,15.0,0
Tyler Soderstrom,ATH,8.799999999999999,22.6,0.198,0.327,0.276,0.346,0.474,0.354,125.0,-0.7,17.9,3.4,113.62615242735679,3.8518518518518516,,65.68343805501681,38.580052310166515,24.03846153846154,72.11538461538461,89.42307692307692,46.0,2.0,0
Dansby Swanson,CHC,7.3,26.0,0.173,0.298,0.244,0.3,0.417,0.31,99.0,4.8,4.3,3.3,86.60386518788816,3.9814814814814814,,63.62954274710267,48.36325500865054,22.325581395348838,78.13953488372093,71.62790697674419,52.0,6.0,0
Rafael Devers,2 Tms,15.4,26.3,0.227,0.307,0.252,0.372,0.479,0.365,135.0,-5.8999999999999995,24.5,3.3,122.66273656562774,4.5,,59.66747421275501,47.40409351756701,28.80658436213992,81.48148148148148,89.7119341563786,46.0,0.0,0
James Wood,WSN,12.3,32.1,0.219,0.35,0.256,0.35,0.475,0.353,127.0,-0.9,21.4,3.3,115.0692770572307,4.253086419753086,,49.3808843347858,60.15947431746703,26.99564586357039,75.76197387518143,81.8577648766328,46.0,31.0,0
Ernie Clement,TOR,4.6,10.4,0.121,0.296,0.277,0.313,0.398,0.308,98.0,1.1,-0.5999999999999996,3.2,86.19541855565542,3.6296296296296298,,80.80779731452665,21.884549845836126,9.183673469387756,84.6938775510204,51.0204081632653,1.0,30.0,0
Zach Neto,LAA,6.0,26.900000000000002,0.217,0.312,0.257,0.319,0.474,0.337,116.0,3.0,13.2,3.2,105.43182797730033,3.419753086419753,,60.819713966941094,52.178369597752805,28.15884476534296,88.8086642599278,67.14801444043322,52.0,14.0,0
Xander Bogaerts,SDP,8.7,17.0,0.128,0.299,0.263,0.328,0.391,0.313,104.0,1.4,3.999999999999999,3.2,89.14376656699845,3.4074074074074074,,73.57149227794864,34.84479850111552,11.956521739130435,68.47826086956522,57.608695652173914,12.0,24.0,0
Steven Kwan,CLE,7.9,8.7,0.102,0.283,0.272,0.33,0.374,0.31,99.0,0.5,-0.3999999999999986,3.2,85.85519272965895,4.277777777777778,,82.54348308993596,16.77820813227337,9.523809523809526,70.12987012987013,48.484848484848484,1.0,9.0,0
Trent Grisham,NYY,14.099999999999998,23.599999999999998,0.229,0.253,0.235,0.348,0.464,0.353,129.0,-3.0,16.9,3.2,111.94163305092788,3.5864197530864197,,70.09633172090575,50.186419148423695,35.111876075731494,89.84509466437177,76.41996557659208,46.0,20.0,0
Josh Naylor,2 Tms,7.9,13.700000000000001,0.168,0.315,0.295,0.353,0.462,0.351,128.0,0.6000000000000001,20.3,3.1,113.00079926713317,3.728395061728395,,75.9279194861363,29.387843999122577,19.867549668874172,80.4635761589404,91.3907284768212,23.0,0.0,0
Zach McKinstry,DET,9.0,21.7,0.179,0.314,0.259,0.333,0.438,0.333,114.0,4.4,12.6,3.1,101.43131400957782,3.154320987654321,,65.08691553409116,39.847339814351265,14.090019569471623,79.84344422700588,57.534246575342465,14.0,11.0,0
CJ Abrams,WSN,5.800000000000001,19.7,0.176,0.296,0.257,0.315,0.433,0.324,107.0,7.4,12.9,3.1,94.82267785650879,3.919753086419753,,69.48169667277425,38.072115408447154,17.95275590551181,86.92913385826772,56.69291338582677,52.0,31.0,0
Bryson Stott,PHI,9.6,16.3,0.134,0.288,0.257,0.328,0.391,0.315,100.0,3.8,3.8,3.1,89.14376656699845,3.45679012345679,,67.82180272339045,35.84078849658358,13.928571428571429,70.71428571428571,70.71428571428571,12.0,22.0,0
